id;text;author;category
1;The simple act of paying positive attention to people has a great deal to do with productivity;Tom Peters;management
2;Leadership is practiced not so much in words as in attitude and in actions;Harold S. Geneen;management
3;If you don't imagine, nothing ever happens at all;John Green;hipster
4;I don't do drugs. I am drugs.;Salvador Dali;hipster
5;I am so clever that sometimes I don't understand a single word of what I am saying;Oscar Wilde;hipster
6;Our lives are composed of a finite set of moments that we choose how to spend;John Green;hipster
7;I ain’t no hipster, but girl I can make your hips stir;Mac Miller;hipster
8;Our fearlessness shall be our secret weapon;John Green;hipster
9;Sometimes the way you think about someone isn't the way they actually are;John Green;hipster
10;The most interesting hipsters are ones who stop being hipsters;Greg Fitzsimmons;hipster
11;Civilization begins with distillation;William Faulkner;hipster
12;All that we are is the result of what we have thought;Buddha;famous
13;I have no special talent. I am only passionately curious;Albert Einstein;famous
14;If you judge people, you have no time to love them;Mother Teresa;famous
15;The future belongs to those who prepare for it today;Malcolm X;famous
16;The successful warrior is the average man, with laser-like focus;Bruce Lee;famous
17;It always seems impossible until it’s done;Nelson Mandela;famous
18;The unexamined life is not worth living;Socrates;famous
19;Our life is frittered away by detail… simplify, simplify;Henry David;famous
20;Try not to become a man of success but rather to become a man of value;Albert Einstein;famous
21;The weak can never forgive. Forgiveness is the attribute of the strong;Mahatma Gandhi;famous
22;Whatever you are, be a good one;Abraham Lincoln;famous
23;Do what you can, with what you have, where you are;Theodore Roosevelt;famous
24;Little by little, one travels far;J.R.R. Tolkien;famous
25;You have power over your mind – not outside events. Realize this, and you will find strength;Marcus Aurelius;famous
26;Be kind whenever possible. It is always possible;Dalai Lama;famous
27;Love the life you live. Live the life you love;Bob Marley;famous
28;By failing to prepare, you are preparing to fail;Benjamin Franklin;famous
29;I think, therefore I am;René Descartes;famous
30;To be, or not to be, that is the question;William Shakespeare;famous
31;The only thing that interferes with my learning is my education;Albert Einstein;famous
32;Ask not what your country can do for you, but what you can do for your country;John F. Kennedy;famous
33;The future belongs to those who believe in the beauty of their dreams;Eleanor Roosevelt;famous
34;The journey of a thousand miles begins with one step;Lao Tzu;famous
35;Great minds discuss ideas, average minds discuss events, small minds discuss people;Eleanor Roosevelt;famous
36;Those who dare to fail miserably can achieve greatly;John F. Kennedy;famous
37;Remember that the happiest people are not those getting more, but those giving more;H. Jackson Brown, Jr.;famous
38;If you want to be happy, be;Leo Tolstoy;famous
39;If you want to live a happy life, tie it to a goal, not to people or things;Albert Einstein;famous
40;It does not matter how slowly you go so long as you do not stop;Confucius;famous
41;You miss 100 percent of the shots you never take;Wayne Gretzky;famous
42;Big Brother is watching you;George Orwell;famous
43;Keep calm and carry on;Winston Churchill;famous
44;Be proud of who you are;Eminem;famous
45;We need fantasy to survive reality;Lady Gaga;famous
46;Have no fear of perfection, you’ll never reach it;Salvador Dali;famous
47;The future starts today, not tomorrow;Pope John Paul II;famous
